word,overall_token_count,overall_doc_count,overall_freq_per_10k_highgap_tokens,mh_token_count,mh_doc_count,mh_freq_per_10k_highgap_tokens,mh_enrichment_ratio
good,4907,3507,2480.036389366219,1243.0,835.0,3469.1599218531956,1.3988342819192874
great,1606,1312,811.685029819064,300.0,259.0,837.2871895060005,1.0315419882668182
interesting,1144,999,578.1865965834428,177.0,160.0,493.9994418085403,0.8543944891282046
story,1402,965,708.5818255332053,140.0,113.0,390.73402176946695,0.5514310524065298
normal,475,397,240.06873546952392,129.0,108.0,360.03349148758025,1.4997100342238685
thank,725,643,366.42070150611545,121.0,112.0,337.7058331007535,0.921634153618353
due,625,581,315.8799150914788,107.0,101.0,298.63243092380685,0.9453986045215238
beginning,544,500,274.94187809562317,98.0,88.0,273.5138152386268,0.9948059463808039
special,407,357,205.701000707571,81.0,74.0,226.06754116662017,1.0990104102016678
comfortable,254,236,128.373597493177,78.0,71.0,217.69466927156012,1.69579004968241
dream,524,281,264.83372081269584,73.0,47.0,203.73988277979348,0.7693124657796867
extra,200,174,101.08157282927321,54.0,43.0,150.7116941110801,1.4909907898360582
tea,358,153,180.93601536439908,53.0,34.0,147.92073681272677,0.8175306420615145
decide,219,209,110.68432224805419,50.0,49.0,139.54786491766677,1.2607735412126917
fresh,209,180,105.63024360659053,47.0,44.0,131.17499302260677,1.241831776048092
option,204,186,103.1032042858587,41.0,38.0,114.42924923248674,1.1098515320155926
grow,233,200,117.76003234610332,41.0,36.0,114.42924923248674,0.9717155044268421
wonderful,203,187,102.59779642171233,40.0,37.0,111.6382919341334,1.0881158838458227
begin,180,166,90.9734155463459,35.0,34.0,97.68350544236674,1.0737587992673383
clothes,285,198,144.04124128171435,33.0,27.0,92.10159084566006,0.6394112549050402
park,226,147,114.22217729707874,33.0,27.0,92.10159084566006,0.8063372019805582
lucky,183,167,92.489639138785,33.0,30.0,92.10159084566006,0.9958044133728486
shop,179,124,90.46800768219954,29.0,16.0,80.93776165224673,0.8946561743315297
father,440,270,222.3794602244011,29.0,23.0,80.93776165224673,0.3639623981963497
grocery,130,103,65.7030223390276,28.0,21.0,78.14680435389339,1.1893943622633747
ideal,116,91,58.62731224097846,24.0,22.0,66.98297516048004,1.1425216780365848
pace,66,61,33.35691903366016,24.0,23.0,66.98297516048004,2.0080684037959284
born,255,205,128.87900535732336,23.0,19.0,64.1920178621267,0.4980797119333216
area,262,217,132.41686040634792,22.0,18.0,61.40106056377337,0.4636951848570348
mix,139,120,70.2516931163449,21.0,20.0,58.610103265420044,0.8342874123833666
